반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55070105,통신비_휴대폰지원,KR,3000009647,689,2024-11-07,2024-10-31,2024-10-31,S,40,2600,SERGIO TACCHINI,KRW,160000,160000.0,KRW,,1000.0,24.10월 임직원 통신비 지원금_SERGIO TACCHINI_TD팀,,,,,2000.0,,FT0700,ST_TD팀,FT0700,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202410,부서
,2024/10,,55070105,통신비_휴대폰지원,KR,3000009647,690,2024-11-07,2024-10-31,2024-10-31,S,40,2600,SERGIO TACCHINI,KRW,40000,40000.0,KRW,,1000.0,24.10월 임직원 통신비 지원금_SERGIO TACCHINI_글로벌기획팀,,,,,2000.0,,FT0900,[CLSD]ST_글로벌기획팀,FT0900,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202410,부서
,2024/10,,55070105,통신비_휴대폰지원,KR,3000009647,691,2024-11-07,2024-10-31,2024-10-31,S,40,2600,SERGIO TACCHINI,KRW,440000,440000.0,KRW,,1000.0,24.10월 임직원 통신비 지원금_SERGIO TACCHINI_디자인팀,,,,,2000.0,,FT0200,ST_디자인팀,FT0200,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202410,부서
,2024/10,,55070105,통신비_휴대폰지원,KR,3000009647,692,2024-11-07,2024-10-31,2024-10-31,S,40,2600,SERGIO TACCHINI,KRW,160000,160000.0,KRW,,1000.0,24.10월 임직원 통신비 지원금_SERGIO TACCHINI_상품기획팀,,,,,2000.0,,FT0901,ST_기획팀,FT0901,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202410,부서
,2024/10,,55070105,통신비_휴대폰지원,KR,3000009647,693,2024-11-07,2024-10-31,2024-10-31,S,40,2600,SERGIO TACCHINI,KRW,200000,200000.0,KRW,,1000.0,24.10월 임직원 통신비 지원금_SERGIO TACCHINI_소싱팀,,,,,2000.0,,FT0500,[CLSD]ST_소싱팀,FT0500,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202410,부서
,2024/10,,55070105,통신비_휴대폰지원,KR,3000009647,694,2024-11-07,2024-10-31,2024-10-31,S,40,2600,SERGIO TACCHINI,KRW,200000,200000.0,KRW,,1000.0,24.10월 임직원 통신비 지원금_SERGIO TACCHINI_영업팀,,,,,2000.0,,FT0800,[CLSD]ST_영업팀,FT0800,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202410,부서
